hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
0,18,315,sonhei que eu ficava abracado com ele acordei tao bem me sentir tao seguro,abrac,abracado,abracado abraco abracava abracar abracei abracada abracando,1
1,253,315,sonhei com um amigo meu que eu nao vejo ha um tempo e nem falo mais sempre a sensacao que eu tenho e de que a namorada dele nao gosta muito de mim mas no sonho depois que a gente se viu a gente deu um abraco tao real que era o que eu precisava saudades amigo saudade,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
2,387,315,sonhei com uma pessoa que eu nao vejo ha anos a gente se abracava tanto tanto e eu chorava muito depois acordei pessima daria um braco por noticias dele ninguem nunca mais viu ou soube,abrac,abracava,abracado abraco abracava abracar abracei abracada abracando,1
3,721,315,hoje eu sonhei que eu ia conhecer a maraisa ate ai tudo bem dai eu entrei no camarim dela e quando eu fui abracar ela eu desmaiei e acordei eu e acordei e o sonho estava tao real que eu senti a queda acordei chorando,abrac,abracar,abracado abraco abracava abracar abracei abracada abracando,1
4,1596,315,sonhei que eu abracava o e ele e muito macio,abrac,abracava,abracado abraco abracava abracar abracei abracada abracando,1
5,2036,315,sonhei que eu abracei o edvin mds como eu sou vazia,abrac,abracei,abracado abraco abracava abracar abracei abracada abracando,1
6,2063,315,sonhei q tava abracado com a minha cheirosa mandando um velho tomar no cu e nao falar comigo de trabalho pq ele eh fdp e caloteiro,abrac,abracado,abracado abraco abracava abracar abracei abracada abracando,1
7,2151,315,sonhei com meu pai saudade daquele sorriso com covinha e do abraco sufocante,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
8,2266,315,sonhei que eu encontrava a tulla luana e dava um abraco nela,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
9,2405,315,eu sonhei com o abraco dele,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
10,2601,315,sonhei que ganhavamos a eleicao e eu chorava igual um abracada a nol_bruno,abrac,abracada,abracado abraco abracava abracar abracei abracada abracando,1
11,2822,315,sonhei com meu pai mas nao pude abracar ele porque eu estava cantando com sandy e junior,abrac,abracar,abracado abraco abracava abracar abracei abracada abracando,1
12,2865,315,sonhei abracando o lula na posse bom di aa,abrac,abracando,abracado abraco abracava abracar abracei abracada abracando,1
13,2954,315,sonhei a gente conversando com a malu no banco de uma praca e eu dava um abraco nela e tirava varias fotos adeus,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
14,3201,315,sonhei com a minha bisa e acordei morrendo de saudade dela e do abraco que ela me dava todos os dias,abrac,abraco,abracado abraco abracava abracar abracei abracada abracando,1
15,3339,315,sonhei com ele a gente se abracando e nao conseguindo largar do abraco pqp que dor,abrac,abracando abraco,abracado abraco abracava abracar abracei abracada abracando,1
16,3378,315,sonhei que tinha abracado o luan e foi tao lindo nossas fotinhas tirando selfie e ele me mandando pelo wpp dele que,abrac,abracado,abracado abraco abracava abracar abracei abracada abracando,1
17,3642,315,sonhei que eu encontrava o jao e abracava tanto ele acordei com uma saudade do nosso abraco,abrac,abracava abraco,abracado abraco abracava abracar abracei abracada abracando,1
18,4076,315,sonhei que tinha abracado a stefania e a camilla sempre fui triste,abrac,abracado,abracado abraco abracava abracar abracei abracada abracando,1
750,3677,232,sonhei que abracava o ross lynch fds acordei com tanta depressao,abrac,abracava,abracava,1
765,2689,217,sonhei que tava sendo abusada e acordei chorando igual uma desgracada,abuso,abusada,abusada,1
27,188,191,sonhei que morri em acidente de carro e agora minha meta enquanto vivo vai ser economizar para uma moto,acident,acidente,acidente acidentando atropelados atropelar atropelada atropelado,1
